"filename", "language", "XML", "Go", "comment", "blank", "total"
"c:\Go Projects\go_utils\.idea\T4uLabs.iml", "XML", 8, 0, 0, 0, 8
"c:\Go Projects\go_utils\.idea\modules.xml", "XML", 8, 0, 0, 0, 8
"c:\Go Projects\go_utils\.idea\vcs.xml", "XML", 6, 0, 0, 0, 6
"c:\Go Projects\go_utils\.idea\workspace.xml", "XML", 101, 0, 0, 0, 101
"c:\Go Projects\go_utils\emails\conts.go", "Go", 0, 10, 2, 8, 20
"c:\Go Projects\go_utils\emails\emails.go", "Go", 0, 186, 25, 21, 232
"c:\Go Projects\go_utils\emails\go.mod", "XML", 2, 0, 0, 2, 4
"c:\Go Projects\go_utils\emails\structures.go", "Go", 0, 33, 5, 10, 48
"c:\Go Projects\go_utils\emails\utils.go", "Go", 0, 212, 35, 24, 271
"c:\Go Projects\go_utils\ffmpeg\consts.go", "Go", 0, 19, 2, 8, 29
"c:\Go Projects\go_utils\ffmpeg\ffmpeg.go", "Go", 0, 324, 67, 78, 469
"c:\Go Projects\go_utils\ffmpeg\go.mod", "XML", 3, 0, 0, 3, 6
"c:\Go Projects\go_utils\ffmpeg\structures.go", "Go", 0, 16, 8, 9, 33
"c:\Go Projects\go_utils\ffmpeg\utils.go", "Go", 0, 34, 5, 8, 47
"c:\Go Projects\go_utils\firebase\cloudfunctions\cloudfunctions.go", "Go", 0, 57, 8, 14, 79
"c:\Go Projects\go_utils\firebase\cloudfunctions\go.mod", "XML", 2, 0, 0, 2, 4
"c:\Go Projects\go_utils\firebase\customclaims\consts.go", "Go", 0, 4, 0, 3, 7
"c:\Go Projects\go_utils\firebase\customclaims\customclaims.go", "Go", 0, 40, 5, 11, 56
"c:\Go Projects\go_utils\firebase\customclaims\go.mod", "XML", 8, 0, 0, 3, 11
"c:\Go Projects\go_utils\firebase\customclaims\structures.go", "Go", 0, 2, 0, 4, 6
"c:\Go Projects\go_utils\firebase\distributedcounters\Consts.go", "Go", 0, 18, 3, 9, 30
"c:\Go Projects\go_utils\firebase\distributedcounters\distributedcounters.go", "Go", 0, 323, 150, 79, 552
"c:\Go Projects\go_utils\firebase\distributedcounters\go.mod", "XML", 7, 0, 0, 3, 10
"c:\Go Projects\go_utils\firebase\distributedcounters\structures.go", "Go", 0, 27, 7, 8, 42
"c:\Go Projects\go_utils\firebase\distributedcounters\utils.go", "Go", 0, 17, 2, 3, 22
"c:\Go Projects\go_utils\firebase\fcm\conditions.go", "Go", 0, 61, 19, 19, 99
"c:\Go Projects\go_utils\firebase\fcm\consts.go", "Go", 0, 3, 0, 4, 7
"c:\Go Projects\go_utils\firebase\fcm\fcm.go", "Go", 0, 67, 19, 13, 99
"c:\Go Projects\go_utils\firebase\fcm\go.mod", "XML", 9, 0, 0, 3, 12
"c:\Go Projects\go_utils\firebase\fcm\structures.go", "Go", 0, 26, 3, 12, 41
"c:\Go Projects\go_utils\firebase\fcm\utils.go", "Go", 0, 28, 3, 6, 37
"c:\Go Projects\go_utils\firebase\remoteconfig\go.mod", "XML", 3, 0, 0, 3, 6
"c:\Go Projects\go_utils\firebase\remoteconfig\remoteconfig.go", "Go", 0, 212, 20, 51, 283
"c:\Go Projects\go_utils\firebase\storage\go.mod", "XML", 6, 0, 0, 3, 9
"c:\Go Projects\go_utils\firebase\storage\storage.go", "Go", 0, 174, 31, 47, 252
"c:\Go Projects\go_utils\firebase\storage\utils.go", "Go", 0, 16, 2, 5, 23
"c:\Go Projects\go_utils\firebase\userprivileges\go.mod", "XML", 8, 0, 0, 3, 11
"c:\Go Projects\go_utils\firebase\userprivileges\userprivileges.go", "Go", 0, 106, 10, 44, 160
"c:\Go Projects\go_utils\firebase\userprivileges\utilities.go", "Go", 0, 25, 6, 9, 40
"c:\Go Projects\go_utils\math\arrays\difference.go", "Go", 0, 25, 6, 7, 38
"c:\Go Projects\go_utils\math\arrays\go.mod", "XML", 2, 0, 0, 2, 4
"c:\Go Projects\go_utils\math\arrays\indexOf.go", "Go", 0, 46, 10, 6, 62
"c:\Go Projects\go_utils\math\arrays\intersection.go", "Go", 0, 13, 3, 3, 19
"c:\Go Projects\go_utils\math\arrays\union.go", "Go", 0, 13, 3, 2, 18
"c:\Go Projects\go_utils\os\go.mod", "XML", 2, 0, 0, 2, 4
"c:\Go Projects\go_utils\os\http.go", "Go", 0, 20, 5, 5, 30
"c:\Go Projects\go_utils\os\os.go", "Go", 0, 58, 8, 12, 78
"c:\Go Projects\go_utils\utils\go.mod", "XML", 2, 0, 0, 2, 4
"c:\Go Projects\go_utils\utils\goroutines.go", "Go", 0, 16, 2, 6, 24
"c:\Go Projects\go_utils\utils\json.go", "Go", 0, 16, 2, 6, 24
"c:\Go Projects\go_utils\utils\strings.go", "Go", 0, 37, 9, 8, 54
"c:\Go Projects\go_utils\utils\utils.go", "Go", 0, 22, 7, 4, 33
"Total", "-", 177, 2306, 492, 597, 3572
